"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",110,1700,2100,2600,3100,4100,4900,5600,5800,5900
"Total",110,1700,2100,2600,3100,4100,4900,5600,5800,5900
